"Day","Weekday","Date_NO","Platform","Format","Pool","Visual_Script","Caption_NO","CTA"
"11","Fredag","26. juni","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA REEL – «Forebygging er den beste medisinen» | Shot 1 (0–4s): Tekst-animasjon ferskenbg: «Hva om du kunne unngå sykdom – før den starter?» Playfair Display, fade-in. | Shot 2 (4–9s): Montasje forebygging: rask walk, bær i skål, god søvn (silhouett), vennskap. | Shot 3 (9–14s): Infographic: «Forebygging = mindre sykdom + lavere kostnader + bedre livskvalitet.» Mintgrønn. | Shot 4 (14–18s): Hjerne-illustrasjon. Tekst: «Tidlig hjelp gir bedre prognose». Ingen gjenkjennbare ansikter. | Shot 5 (18–22s): Logo + «Neurobelle – din partner i forebyggende helse». | VO: vo-scripts.md → Forebygging-reel / AVIDA-1 (kaviyan PRO – separat lydfil)","Forebygging er den smarteste helseinvesteringen du kan gjøre. 🌿  Regelmessige helsesjekker, tidlig diagnostikk og livsstilsendringer kan spare deg for år med behandling.  Hos Neurobelle hjelper vi deg – før det blir et problem.","📌 Lær mer: neurobelleklinikk.com | Bestill helsesjekk ↓"
"12","Lørdag","27. juni","Instagram","Single Photo","KLINIKK","Mørkt rom, mykt lys fra seng-lampe. Person (silhouett) under dyne. Terrakotta tekst overlay: «Migrene setter livet på pause.» Undertekst (Montserrat): «Det finnes hjelp.» Neurobelle-logo nede til høyre.","En migreneanfall kan lamme en hel dag – mørkt rom, kvalme, umulig å fungere.  Mange aksepterer dette som «normalt» – men det trenger det ikke å være. 🧠  Nevrologisk utredning kan avdekke årsaken og åpne for bedre behandling.","💡 Finn løsningen: neurobelleklinikk.com/bestill-time"
"13","Søndag","28. juni","Instagram","Story","AVIDA","Blå/mintgrønn gradient bg. Tekst: «Reiser du i sommer? ✈️ Husk vaksiner!» Countdown-sticker til sommerferie. Swipe-up ikon. Ingen identifiserbare ansikter.","Sommeren nærmer seg! ✈️🌍  Er vaksinene dine oppdatert? Vi tilbyr rask vaksinerådgivning og administrasjon – bestill enkelt online.","Swipe opp → vaksinetime hos Neurobelle"
"14","Mandag","29. juni","Instagram + Facebook","Reel 9:16","KLINIKK","R3 – KLINIKK→TELEHELSE [STORYBOARD – krever ekte klipp fra klinikken + Kahiyan] | Shot 1 (0–5s): Kahiyan i samtale med pasient – pasient med ryggen til kamera, nikker naturlig. Varm klinikk-belysning. | Shot 2 (5–10s): Neurobelle klinikk-fasade / skilt (Arbeidersamfunnetsplass 1). | Shot 3 (10–16s): Person hjemme FaceTimes online-lege. Smiler, rolig. | Shot 4 (16–21s): Split-screen: klinikk venstre / video-konsultasjon høyre. | Shot 5 (21–24s): Logo. «Finn oss – når det passer deg.» | On-screen: «Klinikk. Eller hjemmefra. Du velger.» | VO: vo-scripts.md → R3 (kaviyan PRO – separat lydfil, legges over i klipping)","Noen ganger er det trygt å møtes ansikt til ansikt. Andre ganger er det enklere hjemmefra.  Hos Neurobelle har du begge alternativene – alltid. 🏥📱  Klinikk på Arbeidersamfunnetsplass 1, Oslo – eller video fra der du er.","📅 Velg ditt format: neurobelleklinikk.com/bestill-time"
"15","Tirsdag","30. juni","Instagram + Facebook","Carousel","KLINIKK","S1 [Hook/foto]: Person med telefon, apotekhylle i bakgrunn (uskarp). Terrakotta bar: «Digital resept – enkelt og trygt». | S2 [Info]: Hvit slide: «Hva er digital resept? En elektronisk utskrivning direkte til ditt personnummer. Gyldig på alle norske apotek. Ingen papir – ingen kø.» | S3 [Standout]: Fersken bg, Playfair Display: «Resepten din er klar – før samtalen er ferdig.» | S4 [Foto]: Apotekansatt over disk, smilende og trygg atmosfære. | S5 [Løsning]: Mint bg: «Steg 1: Book videokonsultasjon → Steg 2: Snakk med legen → Steg 3: Resept sendes digitalt → Steg 4: Hent på nærmeste apotek. Hele prosessen: under 30 min.» | S6 [CTA]: Terrakotta. «Trenger du reseptfornyelse? Book online hos Neurobelle.»","Glemt å fornye resepten? Trenger du rask medisinsk vurdering? 💊  Med digital resept fra Neurobelle er det enklere enn du tror. Se hvordan det fungerer – sveip 👉","Slide 6: «Bestill time her» → neurobelleklinikk.com/bestill-time"
"16","Onsdag","1. juli","Instagram + Facebook","Single Photo","AVIDA","Overhead-shot av fargerikt sunn matfat – salater, bær, nøtter, egg. Ingen gjenkjennbare ansikter. Mintgrønn ramme. Tekst overlay (Playfair Display): «Mat er medisin.» Undertekst (Montserrat): «Hva du spiser påvirker hjernen din direkte.»","Visste du at kosthold direkte påvirker nevrologisk helse? 🥦🧠  Omega-3, B-vitaminer og antioksidanter støtter hjernefunksjon og kan redusere risikoen for migrene og kognitive plager.  Mat er ikke bare drivstoff – det er medisin.","💡 Bestill forebyggende time: neurobelleklinikk.com/bestill-time"
"17","Torsdag","2. juli","Google Posts","Google Post","KLINIKK","Nevrologikonsultasjon-setting – lege med tablet (illustrativt, ingen identifiserbart ansikt). Neurobelle-logo.","🧠 Nevrologisk utredning i Oslo – rask tilgjengelighet  Opplever du skjelvinger, nummenhet, hyppig hodepine eller andre nevrologiske symptomer?  Neurobelle tilbyr grundig nevrologisk utredning med kort ventetid og erfarne spesialister.","Book utredning: neurobelleklinikk.com/bestill-time"
"18","Fredag","3. juli","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA REEL – «Hodepine eller migrene – hva er forskjellen?» | Shot 1 (0–4s): Tekst-animasjon ferskenbg: «Hodepine? Eller migrene?» Store Playfair Display-bokstaver. | Shot 2 (4–9s): Delt infographic: HODEPINE (svak trykk-strek) vs MIGRENE (lyn/puls-ikon). Forskjeller popper inn én etter én. | Shot 3 (9–15s): Symptom-liste animasjon: «Migrene: intens pulserende smerte · ensidig · kvalme · aura · 4–72 timer». Mint bg. | Shot 4 (15–19s): «Lider du av dette regelmessig? Det kan behandles.» Terrakotta accent. | Shot 5 (19–23s): Logo + «Neurobelle – nevrologisk ekspertise». | VO: vo-scripts.md → Hodepine-reel / AVIDA-2 (kaviyan PRO – separat lydfil)","Hodepine én gang iblant er vanlig. Men hyppige, intense anfall med kvalme og lysøverfølsomhet? Det kan være migrene. 🧠  Det er en viktig forskjell – fordi behandlingen er ulik.  Sveip for å finne ut mer ↓","📋 Book utredning: neurobelleklinikk.com/bestill-time"
"19","Lørdag","4. juli","Instagram + Facebook","Single Photo","KLINIKK","Sommerlig bilde – person pakker ryggsekk (strandutstyr, pass, solkrem). Terrakotta tekstboks: «Reiser snart? ✈️ Vaksiner kan redde sommeren din.» Montserrat undertekst: «Neurobelle – rask vaksinerådgivning.»","Sommer = reise. Reise = nye steder. Nye steder = nye helserisiker. 🌍  Tenk gulfeber, hepatitt, tyfus, kolera – avhengig av destinasjon.  Hos Neurobelle gir vi deg personlig reisevaksinasjon og helseveiledning – raskt og enkelt.","✈️ Book vaksinetime: neurobelleklinikk.com/bestill-time"
"20","Søndag","5. juli","Instagram","Story","KLINIKK","Terrakotta bakgrunn, hvit tekst (Montserrat). Sitat: «Helse er ikke alt, men uten helse er alt ingenting.» Swipe-sticker: «Book en sjekk i dag». Neurobelle-logo nede.","Noen ganger trenger vi bare en påminnelse 🧡  Ta vare på deg selv – bestill en helsesjekk hos Neurobelle.","Link i bio → neurobelleklinikk.com/bestill-time"
"21","Mandag","6. juli","Instagram + Facebook","Reel 9:16","KLINIKK","R4 – TREMORS REEL | Shot 1 (0–5s): Koselig kafé-interiør, varmt lys. Eldre kvinne (60+) i samtale, smiler – norsk hverdagsscene. | Shot 2 (5–10s): Close-up: hun løfter kaffekoppen. Hånden skjelver tydelig. Koppen risler litt. Hun setter den stille ned. Stillhet. | Shot 3 (10–15s): On-screen tekst fade-in: «Begynner dette å skje?» (Playfair Display, hvit på #292420 overlay). VO starter. | Shot 4 (15–19s): Long shot kafeen. Personen sitter stille. Tekst: «Skjelvinger kan ha mange årsaker – og hjelp finnes.» | Shot 5 (19–23s): Neurobelle-logo, mørk bg. Terrakotta tekst: «Ta kontakt nå.» | On-screen: «Neurobelle Klinikk – nevrologisk utredning» | VO: vo-scripts.md → R4 (kaviyan PRO – separat lydfil)","Har du eller noen du kjenner begynt å oppleve ukontrollerte skjelvinger? 🤝  Det er ikke noe man bare «må leve med». En nevrologisk utredning kan gi svar – og muligheten til bedre hverdag.  Ta kontakt. Tidlig hjelp gjør en forskjell.","🧠 Book nevrologisk vurdering: neurobelleklinikk.com/bestill-time"
"22","Tirsdag","7. juli","Instagram + Facebook","Carousel","AVIDA","S1 [Hook/foto]: Person ved skrivebord, hender mot tinningene. Terrakotta bar: «5 strategier som faktisk hjelper mot migrene». | S2 [Info]: «Identifiser triggerne dine: stress · søvnmangel · hormonsvingninger · kaffe · sterk lys/lyd. Før migrenedagbok i 4 uker.» | S3 [Standout]: Fersken bg, Playfair: «Det du vet om kroppen din er mektigere enn det du tar.» | S4 [Foto]: Person som sover rolig, mørkt rom – rolig og trygg. | S5 [Løsning]: Mint: «Strategi 1: Jevn søvnrytme · Strategi 2: 2L vann daglig · Strategi 3: Stressmestring · Strategi 4: Unngå MSG, rødvin, hermetikk · Strategi 5: Medikamentell forebygging – snakk med lege» | S6 [CTA]: Terrakotta. «Vil du ha hjelp til din migrenestrategi? Bestill tid hos Neurobelle.»","Mange lever med migrene i årevis uten å prøve disse enkle grepene. 🧠💡  De rette strategiene kan halvere antall anfall for mange – uten medisiner.  Sveip for 5 tips fra nevrologisk praksis 👉","Slide 6: «Bestill time her» → neurobelleklinikk.com/bestill-time"
"23","Onsdag","8. juli","Facebook","Single Photo","KLINIKK","Nærbilde av blodsukkermåler med lesbar verdi. Fersken/terrakotta overlay-strip: «Er blodsukkeret ditt i balanse?» Neurobelle-logo nede.","Blodsukker i ubalanse kan gi symptomer du kanskje ikke kobler til det: tretthet, konsentrasjonsvansker, vektoppgang, stemningssvingninger. 🩸  En enkel blodprøve gir svar. Og riktig kosthold og oppfølging kan endre mye.","📊 Book blodprøve og rådgivning: neurobelleklinikk.com/bestill-time"
"24","Torsdag","9. juli","Google Posts","Google Post","KLINIKK","Sommerhimmel, reisende silhouett, vaksine-ikon illustrasjon. Lyst og friskt.","🌍 Reiser du i sommer? Husk reisevaksinene!  Neurobelle tilbyr rask og profesjonell reisevaksinasjon i Oslo sentrum. Vi går gjennom destinasjon, risiko og anbefalte vaksiner – og gir deg det du trenger.  Ikke vent til siste minutt.","Book vaksintime: neurobelleklinikk.com/bestill-time"
"25","Fredag","10. juli","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA REEL – «Hva skjer i kroppen under stress?» | Shot 1 (0–4s): Tekst-animasjon: «Stress. Alle kjenner det. Men hva gjør det egentlig med kroppen?» Fersken bg, Playfair Display. | Shot 2 (4–10s): Kropp-infographic animasjon: hjertebank ↑, kortisol ↑, immunforsvar ↓, søvn ↓. Ikonene popper inn sekvensielt. | Shot 3 (10–15s): «Kronisk stress øker risikoen for: hjertesykdom, diabetes, nevrologiske plager, depresjon.» Mint bg, Montserrat. | Shot 4 (15–19s): «Hva kan du gjøre? → Søvn, bevegelse, mat, pauser, hjelp.» Terrakotta fargepunkter. | Shot 5 (19–23s): Logo. «Neurobelle – for helse du kan forstå.» | VO: vo-scripts.md → Stress-reel / AVIDA-3 (kaviyan PRO – separat lydfil)","Stress er ikke bare en følelse – det er en fysiologisk respons som påvirker hvert organ i kroppen. ⚡🧠  Over tid kan kronisk stress skape alvorlige helseproblemer. Men det finnes gode verktøy.  Se hva som skjer innvendig – og hva du kan gjøre 👉","💡 Bestill forebyggende konsultasjon: neurobelleklinikk.com/bestill-time"
"26","Lørdag","11. juli","Instagram","Single Photo","AVIDA","Illustrasjon av nervesystem/hjerne i blå/mintfarger. Ingen identifiserbare ansikter. Tekst overlay: «Hjernen din trenger like mye omsorg som resten av kroppen.» (Playfair Display, mørk #292420). Minimalistisk.","Vi trener kroppen, tar vitaminer, passer på hjertet – men glemmer hjernen. 🧠  Nevrologisk helse handler om alt fra hukommelse og fokus til søvn og motorikk.  Gi hjernen din den oppmerksomheten den fortjener.","🔬 Bestill nevrologisk sjekk: neurobelleklinikk.com/bestill-time"
"27","Søndag","12. juli","Instagram","Story","KLINIKK","Terrakotta bg. Firevalgspoll: «Hva er din største helseutfordring akkurat nå?» Svar: Hodepine · Søvn · Energi · Noe annet. Interaktiv engagement-story.","Hva plager deg mest? 🤔  Vi vil gjerne høre – og hjelpe. Stem i poll-en og book en time om du vil snakke med oss direkte.","Stemme i poll → link i bio for booking"
"28","Mandag","13. juli","Instagram + Facebook","Reel 9:16","AVIDA","R5 – MIGRAINE REEL | Shot 1 (0–5s): Long shot soverom i halvmørke. Silhouett/rygg under dyne, gardiner trukket. Trykkende stillhet. | Shot 2 (5–10s): On-screen tekst sakte fade-in: «Migrene?» (Playfair Display, hvit). Under: «Finn måter å redusere det.» | Shot 3 (10–16s): Mykt cut til dagscene – samme person ute i sollys, smilende, frisk. Sterk kontrast mørkt/lyst. | Shot 4 (16–20s): Infographic insert (3 kolonner, mint bg): «Triggere · Behandling · Forebygging». | Shot 5 (20–24s): Neurobelle-logo. «Du trenger ikke lide alene.» | VO: beroligende og varmt – vo-scripts.md → R5 (kaviyan PRO – separat lydfil)","Migrene er ikke «bare» hodepine. Det er timer – noen ganger dager – i mørket. 🌑  Men det finnes hjelp. Nevrologisk utredning og riktig behandling kan gi deg livet tilbake.  Du trenger ikke lide alene.","🧠 Bestill utredning: neurobelleklinikk.com/bestill-time"
"29","Tirsdag","14. juli","Instagram + Facebook","Carousel","KLINIKK","S1 [Hook/foto]: Person med laptop i seng, smilende mot skjerm. Terrakotta bar: «5 grunner til å velge online legekonsultasjon». | S2 [Info]: «#1 Ingen ventetid. Book tid, møt legen innen timer. Fra kontoret, hjemmet eller hytta.» | S3 [Standout]: Fersken bg, Playfair: «Helse på dine premisser – uten kompromisser.» | S4 [Foto]: Lys hjemmekontorscene, person konsentrert foran skjerm. | S5 [Løsning]: Mint: «#2 Diskresjon – ingen på venteværelset. #3 Digital resept direkte. #4 Samme kvalitet som fysisk konsultasjon. #5 Tilgjengelig over hele Norge.» | S6 [CTA]: Terrakotta. «Prøv det selv – bestill din første videokonsultasjon hos Neurobelle.»","Telehelse er ikke fremtiden – det er nå. 💻🩺  Og det er enklere enn du tror. Sveip for å se hvorfor tusenvis velger det 👉","Slide 6: «Bestill time her» → neurobelleklinikk.com/bestill-time"
"30","Onsdag","15. juli","Instagram + Facebook","Single Photo","AVIDA","Oversiktsillustrasjon: ikongrafikk med tre søyler – FOREBYGGING · UTREDNING · BEHANDLING. Terrakotta, mintgrønn og fersken i hvert ikon. Neurobelle-logo. Ingen identifiserbare ansikter. Tekst (Montserrat): «Full syklus helsehjelp – fra første symptom til løsning.»","God helse handler ikke om ett enkelt legebesøk. Det handler om hele reisen. 🔄  Fra å forstå symptomene dine, til riktig diagnose og en plan som fungerer for deg.  Neurobelle er med deg – hele veien.","🌿 Utforsk tjenestene: neurobelleklinikk.com | Bestill time ↓"
"31","Torsdag","16. juli","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA VO-reel: «Søvn og nevrologi» – Hjerne-ikon, søvnsyklus animert infographic. Tekst: «Dårlig søvn skader hjernen din.» VO: vo-scripts.md → Søvn-reel / AVIDA-4 (kaviyan PRO – separat lydfil). Logo-outro. Ingen identifiserbare ansikter.","Sover du dårlig? 😴 Hjernen din betaler prisen. Forskning viser at kronisk søvnmangel øker risikoen for nevrologiske plager. Lær mer – og ta grep.","💡 Bestill konsultasjon: neurobelleklinikk.com/bestill-time"
"32","Fredag","17. juli","Facebook","Single Photo","KLINIKK","Varm klinikk-setting – konsultasjonsrom. Tekst overlay: «Alltid tid til deg.» Neurobelle-logo. Terrakotta ramme.","Hos Neurobelle får du tid – og oppmerksomhet. Vi lytter til symptomene dine og lager en plan som passer deg. 🩺","Book tid: neurobelleklinikk.com/bestill-time"
"33","Lørdag","18. juli","Instagram","Story","AVIDA","Mintgrønn bg. Quiz-story: «Sant eller falskt: Vaksiner er bare for barn?» Svar-reveal: FALSKT ✅. Swipe-link til vaksineside.","Voksne trenger vaksiner også! ✅ Oppgrader vaksineprogrammet ditt – sveip for å lære mer.","Swipe → neurobelleklinikk.com/bestill-time"
"34","Søndag","19. juli","Instagram","Story","KLINIKK","Fersken bg. «Ukes-påminnelse 💊: Har du husket medisinen din?» Emoji-timer. Vennlig og lett tone. Swipe-link.","Vi hjelper med oppfølging og reseptfornyelse – raskt og enkelt online. 🙌","Link i bio → book time"
"35","Mandag","20. juli","Google Posts","Google Post","KLINIKK","Klinikk-foto Oslo-profil. Neurobelle-teamet og spesialiteter fremhevet.","Neurobelle Klinikk: nevrologisk utredning, telehelse, digitale resepter og vaksiner i Oslo sentrum. Kortere ventetid enn fastlegen – høyere spesialisering.","neurobelleklinikk.com/bestill-time"
"36","Tirsdag","21. juli","Instagram + Facebook","Carousel","AVIDA","6-slide: «Søvn og hjernehelse» – S1 Alarm/mørkt soverom-hook. S2 Søvnfaser forklart (infographic). S3 Sitat: «Søvn er hjernens reparasjonsmodus.» S4 Person sover rolig (stock). S5 Tips: jevn rytme, mørkt rom, ingen skjerm 1t før leggetid. S6 CTA Neurobelle.","Sover du nok? 😴 7–9 timer er ikke luksus – det er biologi. Sveip for hjerneforskerens tips 👉","Slide 6 → neurobelleklinikk.com/bestill-time"
"37","Onsdag","22. juli","Instagram + Facebook","Single Photo","KLINIKK","Sommerlig outdoor-bilde. Person på sykkel/gåtur, naturlig og frisk. Terrakotta tekstboks: «Aktiv sommer = friskere høst.» Neurobelle-logo.","Juli er perfekt for å bygge gode vaner som varer inn i høsten. 🌞 Start med 30 min daglig bevegelse – kroppen takker deg.","📋 Trenger du en helsesjekk? neurobelleklinikk.com/bestill-time"
"38","Torsdag","23. juli","Instagram","Story","KLINIKK","Spørsmål-story med poll: «Har du noen gang hatt migrene?» JA / NEI. Engasjement-drevet. Terrakotta bakgrunn.","Vi vet at det rammer mange 💙 Si fra i poll – og vet at det finnes hjelp om du trenger det.","Link i bio → migreneinfo + booking"
"39","Fredag","24. juli","Instagram + Facebook","Reel 9:16","AVIDA","AVIDA reel: «Hva skjer med hjernen over 50?» Tekst-animasjon + hjerne-aldring infographic. Ingen ansikter. VO: kaviyan PRO – separat lydfil. Logo-outro.","Over 50? Hjernen endrer seg – men du kan påvirke mye. 🧠 Se hva forskningen sier 👇","neurobelleklinikk.com/bestill-time"
"40","Lørdag","25. juli","Facebook","Single Photo","AVIDA","Illustrasjon: blodsukker-kurve med tydelige opp-ned-svingninger. Tekst overlay: «Blodsukker-berg og daler? Vi hjelper deg å flate kurven.» Mint bg.","Ekstreme svingninger i blodsukker påvirker energi, humør og langsiktig helse. En plan gjør det mulig å leve stabilt. 🩸","Book konsultasjon: neurobelleklinikk.com/bestill-time"
"41","Søndag","26. juli","Google Posts","Google Post","KLINIKK","Nevrologisk helsesjekk illustrasjon – Oslo. Klinikk-setting.","Opplever du nummenhet, skjelvinger eller hukommelsesproblemer? Neurobelle tilbyr rask nevrologisk vurdering i Oslo – ingen lang venteliste.","neurobelleklinikk.com/bestill-time"
"42","Mandag","27. juli","Instagram + Facebook","Reel 9:16","AVIDA","R6 – SEIGMENN VAKSINER [STORYBOARD – krever animasjon] | Sc.1: To blå figurer planlegger tur – en har vaksine-ikon ✅, den andre ❌. | Sc.2: Split-screen: vaksinert reiser fritt / glemt-figur ringer online-lege. | Sc.3: Digital resept på skjerm-ikon. Figuren kjøper på apotek-ikon. | Sc.4: Injeksjon-ikon. Happy face. Fly-ikon avgang. | On-screen: «Neurobelle vaksiner» + logo. VO separat lydfil.","Ingen bør gå glipp av ferien sin fordi de glemte vaksinen! 💉✈️ Enkelt løst med Neurobelle. Animasjonsreel – kommer snart!","Bestill vaksinetime nå: neurobelleklinikk.com/bestill-time"
"43","Tirsdag","28. juli","Instagram + Facebook","Carousel","KLINIKK","6-slide: «Hva skjer i en nevrologisk konsultasjon?» S1 Venterom-hook. S2 Hva legen undersøker. S3 Sitat: «Å vite hva som skjer gjør det tryggere.» S4 Lege med tablet (illustrativt). S5 Etter konsultasjonen: diagnose + plan. S6 CTA.","Mange utsetter nevrologitime fordi de ikke vet hva som skjer. Vi forklarer – sveip 👉 🧠","Slide 6 → neurobelleklinikk.com/bestill-time"
